Stock,Timeframe,EMA Pair,Cross Time,Touch Time,Touch Open,Touch High,Touch Low,Touch Close,EMA21 @ Touch,EMA50 @ Touch,Touch Zone,Candles After Cross,EMA10 @ Touch,EMA20 @ Touch,Entry,SL Price,SL %,SL Source,Target Price,R:R,Outcome,SL Hit Time,Target Hit Time,Max High Seen,PnL %,Duration
RELIANCE,1d,EMA21/EMA50,2024-06-10 00:00:00,2024-06-26 00:00:00,1446.05,1518.97,1445.12,1514.03,1460.87,1453.38,At/Below Slow EMA,11,,,1514.03,1437.5,5.05,prior swing low @ 2024-06-24 00:00:00,1582.16,0.89,TARGET HIT,Not Hit,2024-07-05 00:00:00,1598.5,4.5,7d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,2024-07-22 00:00:00,808.5,825.5,806.33,821.27,818.11,801.29,Between Slow & Fast EMA,37,,,821.27,799.58,2.64,prior swing low @ 2024-07-18 00:00:00,858.23,1.7,SL HIT,2024-07-24 00:00:00,Not Hit,823.9,-2.64,2d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,2024-08-01 00:00:00,811.45,825.02,808.98,819.4,813.18,803.27,Between Slow & Fast EMA,45,,,819.4,794.02,3.1,prior swing low @ 2024-07-24 00:00:00,856.27,1.45,TARGET HIT,Not Hit,2024-09-19 00:00:00,859.5,4.5,34d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,2024-08-08 00:00:00,812.0,826.65,809.62,821.35,813.52,805.24,Between Slow & Fast EMA,50,,,821.35,796.65,3.01,prior swing low @ 2024-08-06 00:00:00,858.31,1.5,TARGET HIT,Not Hit,2024-09-19 00:00:00,859.5,4.5,29d
TCS,1d,EMA21/EMA50,2024-07-03 00:00:00,2024-08-09 00:00:00,4217.0,4253.65,4205.55,4228.75,4212.77,4102.5,Between Slow & Fast EMA,26,,,4228.75,4160.0,1.63,prior swing low @ 2024-08-08 00:00:00,4419.04,2.77,TARGET HIT,Not Hit,2024-08-16 00:00:00,4427.0,4.5,4d
INFY,1d,EMA21/EMA50,2024-06-21 00:00:00,2024-08-12 00:00:00,1773.05,1803.5,1768.1,1797.4,1770.32,1686.89,Between Slow & Fast EMA,35,,,1797.4,1727.1,3.91,prior swing low @ 2024-08-08 00:00:00,1878.28,1.15,TARGET HIT,Not Hit,2024-08-20 00:00:00,1885.7,4.5,5d
TCS,1d,EMA21/EMA50,2024-07-03 00:00:00,2024-08-14 00:00:00,4209.0,4306.2,4188.15,4295.25,4217.67,4116.99,Between Slow & Fast EMA,29,,,4295.25,4183.0,2.61,prior swing low @ 2024-08-13 00:00:00,4488.54,1.72,TARGET HIT,Not Hit,2024-08-19 00:00:00,4494.25,4.5,2d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,2024-08-16 00:00:00,814.25,817.08,805.5,816.05,813.91,807.01,At/Below Slow EMA,55,,,816.05,800.58,1.9,prior swing low @ 2024-08-13 00:00:00,852.77,2.37,TARGET HIT,Not Hit,2024-09-19 00:00:00,859.5,4.5,24d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,2024-08-20 00:00:00,813.73,823.0,813.73,818.85,814.51,807.8,Between Slow & Fast EMA,57,,,818.85,800.58,2.23,prior swing low @ 2024-08-13 00:00:00,855.7,2.02,TARGET HIT,Not Hit,2024-09-19 00:00:00,859.5,4.5,22d
ICICIBANK,1d,EMA21/EMA50,2024-01-03 00:00:00,2024-08-22 00:00:00,1182.0,1192.6,1176.6,1191.1,1186.38,1181.95,At/Below Slow EMA,157,,,1191.1,1165.1,2.18,prior swing low @ 2024-08-21 00:00:00,1244.7,2.06,TARGET HIT,Not Hit,2024-09-03 00:00:00,1250.95,4.5,8d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,2024-09-03 00:00:00,817.0,819.98,812.3,818.67,816.1,810.82,Between Slow & Fast EMA,67,,,818.67,810.58,0.99,prior swing low @ 2024-08-30 00:00:00,855.51,4.55,TARGET HIT,Not Hit,2024-09-19 00:00:00,859.5,4.5,12d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,2024-09-04 00:00:00,819.5,822.4,816.0,820.9,816.53,811.21,Between Slow & Fast EMA,68,,,820.9,810.58,1.26,prior swing low @ 2024-08-30 00:00:00,857.84,3.58,TARGET HIT,Not Hit,2024-09-19 00:00:00,859.5,4.5,11d
RELIANCE,1d,EMA21/EMA50,2024-08-30 00:00:00,2024-09-04 00:00:00,1500.7,1517.5,1499.5,1514.55,1501.93,1499.38,Between Slow & Fast EMA,3,,,1514.55,1493.0,1.42,prior swing low @ 2024-08-28 00:00:00,1582.7,3.16,SL HIT,2024-09-05 00:00:00,Not Hit,1525.78,-1.42,1d
ICICIBANK,1d,EMA21/EMA50,2024-01-03 00:00:00,2024-09-09 00:00:00,1202.9,1238.3,1200.45,1235.0,1214.48,1199.02,Between Slow & Fast EMA,169,,,1235.0,1200.45,2.8,touch is swing low,1290.57,1.61,TARGET HIT,Not Hit,2024-09-18 00:00:00,1295.35,4.5,7d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,2024-09-09 00:00:00,819.0,824.25,815.05,823.25,817.77,812.38,Between Slow & Fast EMA,71,,,823.25,815.05,1.0,touch is swing low,860.3,4.52,TARGET HIT,Not Hit,2024-09-20 00:00:00,872.48,4.5,9d
TCS,1d,EMA21/EMA50,2024-07-03 00:00:00,2024-09-10 00:00:00,4442.45,4539.95,4440.45,4507.85,4443.62,4310.97,Between Slow & Fast EMA,47,,,4507.85,4430.5,1.72,prior swing low @ 2024-09-09 00:00:00,4710.7,2.62,SL HIT,2024-09-18 00:00:00,Not Hit,4549.35,-1.72,6d
TCS,1d,EMA21/EMA50,2024-07-03 00:00:00,2024-09-12 00:00:00,4510.25,4532.6,4431.3,4517.7,4453.31,4325.43,Between Slow & Fast EMA,49,,,4517.7,4431.3,1.91,touch is swing low,4721.0,2.35,SL HIT,2024-09-18 00:00:00,Not Hit,4547.0,-1.91,4d
