SL %,Target %,R:R,Total,Target Hit,SL Hit,Win Rate %,Avg PnL %,Total PnL %
0.75,8.0,10.67,559,39,515,7.0,-0.122,-67.96
0.5,7.0,14.0,559,27,528,4.9,-0.126,-70.71
1.0,2.0,2.0,559,160,397,28.7,-0.138,-77.0
1.0,2.5,2.5,559,137,420,24.6,-0.139,-77.5
0.75,7.0,9.33,559,43,512,7.7,-0.141,-78.71
1.0,3.0,3.0,559,119,438,21.4,-0.145,-81.0
0.5,8.5,17.0,559,19,535,3.4,-0.178,-99.71
0.75,8.5,11.33,559,33,521,6.0,-0.186,-103.96
1.25,4.0,3.2,559,112,445,20.1,-0.194,-108.25
0.5,9.0,18.0,559,17,537,3.1,-0.195,-109.21
1.25,4.5,3.6,559,101,455,18.2,-0.201,-112.52
