SL %,Target %,R:R,Signals,Target Hit,SL Hit,Open,Win Rate %,Avg PnL %,Total PnL %,Avg Win %,Avg Loss %,Expectancy %,Profit Factor,Max Drawdown %,Calmar
1.5,4.5,3.0,141,41,100,0,29.1,0.245,34.5,4.5,-1.5,0.245,1.23,-54.0,0.64
1.5,5.0,3.33,141,36,105,0,25.5,0.16,22.5,5.0,-1.5,0.16,1.14,-59.5,0.38
1.5,5.5,3.67,141,34,107,0,24.1,0.188,26.5,5.5,-1.5,0.188,1.17,-59.0,0.45
1.5,6.0,4.0,141,32,109,0,22.7,0.202,28.5,6.0,-1.5,0.202,1.17,-58.5,0.49
1.5,6.5,4.33,141,29,112,0,20.6,0.145,20.5,6.5,-1.5,0.145,1.12,-58.0,0.35
1.5,7.0,4.67,141,27,114,0,19.1,0.128,18.0,7.0,-1.5,0.128,1.11,-57.5,0.31
1.5,7.5,5.0,141,27,114,0,19.1,0.223,31.5,7.5,-1.5,0.223,1.18,-57.0,0.55
1.5,8.0,5.33,141,24,117,0,17.0,0.117,16.5,8.0,-1.5,0.117,1.09,-56.5,0.29
1.5,8.5,5.67,141,22,119,0,15.6,0.06,8.5,8.5,-1.5,0.06,1.05,-60.5,0.14
1.5,9.0,6.0,141,17,124,0,12.1,-0.234,-33.0,9.0,-1.5,-0.234,0.82,-79.5,-0.42
1.5,9.5,6.33,141,16,125,0,11.3,-0.252,-35.5,9.5,-1.5,-0.252,0.81,-77.5,-0.46
1.5,10.0,6.67,141,15,126,0,10.6,-0.277,-39.0,10.0,-1.5,-0.277,0.79,-87.0,-0.45
1.5,10.5,7.0,141,13,128,0,9.2,-0.394,-55.5,10.5,-1.5,-0.394,0.71,-90.0,-0.62
1.5,11.0,7.33,141,12,129,0,8.5,-0.436,-61.5,11.0,-1.5,-0.436,0.68,-96.5,-0.64
1.5,11.5,7.67,141,12,129,0,8.5,-0.394,-55.5,11.5,-1.5,-0.394,0.71,-92.5,-0.6
1.5,12.0,8.0,141,11,130,0,7.8,-0.447,-63.0,12.0,-1.5,-0.447,0.68,-102.0,-0.62
1.5,12.5,8.33,141,10,131,0,7.1,-0.507,-71.5,12.5,-1.5,-0.507,0.64,-112.5,-0.64
1.5,13.0,8.67,141,10,131,0,7.1,-0.472,-66.5,13.0,-1.5,-0.472,0.66,-111.5,-0.6
1.5,13.5,9.0,141,10,131,0,7.1,-0.436,-61.5,13.5,-1.5,-0.436,0.69,-111.0,-0.55
1.5,14.0,9.33,141,10,131,0,7.1,-0.401,-56.5,14.0,-1.5,-0.401,0.71,-110.5,-0.51
1.5,14.5,9.67,141,10,131,0,7.1,-0.365,-51.5,14.5,-1.5,-0.365,0.74,-110.0,-0.47
1.5,15.0,10.0,141,10,131,0,7.1,-0.33,-46.5,15.0,-1.5,-0.33,0.76,-109.5,-0.42
1.75,2.0,1.14,141,67,74,0,47.5,0.032,4.5,2.0,-1.75,0.032,1.03,-30.5,0.15
1.75,2.5,1.43,141,62,79,0,44.0,0.119,16.75,2.5,-1.75,0.119,1.12,-35.25,0.48
1.75,3.0,1.71,141,55,86,0,39.0,0.103,14.5,3.0,-1.75,0.103,1.1,-45.0,0.32
1.75,3.5,2.0,141,52,89,0,36.9,0.186,26.25,3.5,-1.75,0.186,1.17,-42.0,0.62
1.75,4.0,2.29,141,48,93,0,34.0,0.207,29.25,4.0,-1.75,0.207,1.18,-39.5,0.74
1.75,4.5,2.57,141,46,95,0,32.6,0.289,40.75,4.5,-1.75,0.289,1.25,-49.5,0.82
1.75,5.0,2.86,141,41,100,0,29.1,0.213,30.0,5.0,-1.75,0.213,1.17,-54.75,0.55
1.75,5.5,3.14,141,38,103,0,27.0,0.204,28.75,5.5,-1.75,0.204,1.16,-59.0,0.49
1.75,6.0,3.43,141,35,106,0,24.8,0.174,24.5,6.0,-1.75,0.174,1.13,-61.5,0.4
1.75,6.5,3.71,141,32,109,0,22.7,0.122,17.25,6.5,-1.75,0.122,1.09,-60.5,0.29
1.75,7.0,4.0,141,30,111,0,21.3,0.112,15.75,7.0,-1.75,0.112,1.08,-59.5,0.26
1.75,7.5,4.29,141,30,111,0,21.3,0.218,30.75,7.5,-1.75,0.218,1.16,-58.5,0.53
1.75,8.0,4.57,141,27,114,0,19.1,0.117,16.5,8.0,-1.75,0.117,1.08,-57.5,0.29
1.75,8.5,4.86,141,25,116,0,17.7,0.067,9.5,8.5,-1.75,0.067,1.05,-68.25,0.14
1.75,9.0,5.14,141,20,121,0,14.2,-0.225,-31.75,9.0,-1.75,-0.225,0.85,-88.0,-0.36
1.75,9.5,5.43,141,20,121,0,14.2,-0.154,-21.75,9.5,-1.75,-0.154,0.9,-85.5,-0.25
1.75,10.0,5.71,141,19,122,0,13.5,-0.167,-23.5,10.0,-1.75,-0.167,0.89,-94.75,-0.25
1.75,10.5,6.0,141,17,124,0,12.1,-0.273,-38.5,10.5,-1.75,-0.273,0.82,-98.0,-0.39
1.75,11.0,6.29,141,16,125,0,11.3,-0.303,-42.75,11.0,-1.75,-0.303,0.8,-100.0,-0.43
1.75,11.5,6.57,141,16,125,0,11.3,-0.246,-34.75,11.5,-1.75,-0.246,0.84,-95.0,-0.37
1.75,12.0,6.86,141,15,126,0,10.6,-0.287,-40.5,12.0,-1.75,-0.287,0.82,-105.75,-0.38
1.75,12.5,7.14,141,14,127,0,9.9,-0.335,-47.25,12.5,-1.75,-0.335,0.79,-118.5,-0.4
1.75,13.0,7.43,141,14,127,0,9.9,-0.285,-40.25,13.0,-1.75,-0.285,0.82,-117.5,-0.34
1.75,13.5,7.71,141,14,127,0,9.9,-0.236,-33.25,13.5,-1.75,-0.236,0.85,-116.5,-0.29
1.75,14.0,8.0,141,14,127,0,9.9,-0.186,-26.25,14.0,-1.75,-0.186,0.88,-115.5,-0.23
1.75,14.5,8.29,141,14,127,0,9.9,-0.137,-19.25,14.5,-1.75,-0.137,0.91,-114.5,-0.17
1.75,15.0,8.57,141,13,128,0,9.2,-0.206,-29.0,15.0,-1.75,-0.206,0.87,-130.25,-0.22
2.0,2.5,1.25,141,66,75,0,46.8,0.106,15.0,2.5,-2.0,0.106,1.1,-39.0,0.38
2.0,3.0,1.5,141,57,84,0,40.4,0.021,3.0,3.0,-2.0,0.021,1.02,-54.0,0.06
2.0,3.5,1.75,141,53,88,0,37.6,0.067,9.5,3.5,-2.0,0.067,1.05,-51.0,0.19
2.0,4.0,2.0,141,49,92,0,34.8,0.085,12.0,4.0,-2.0,0.085,1.07,-48.0,0.25
2.0,4.5,2.25,141,47,94,0,33.3,0.167,23.5,4.5,-2.0,0.167,1.12,-58.5,0.4
2.0,5.0,2.5,141,42,99,0,29.8,0.085,12.0,5.0,-2.0,0.085,1.06,-64.0,0.19
2.0,5.5,2.75,141,39,102,0,27.7,0.074,10.5,5.5,-2.0,0.074,1.05,-69.0,0.15
2.0,6.0,3.0,141,36,105,0,25.5,0.043,6.0,6.0,-2.0,0.043,1.03,-72.0,0.08
2.0,6.5,3.25,141,34,107,0,24.1,0.05,7.0,6.5,-2.0,0.05,1.03,-71.0,0.1
2.0,7.0,3.5,141,32,109,0,22.7,0.043,6.0,7.0,-2.0,0.043,1.03,-70.0,0.09
2.0,7.5,3.75,141,32,109,0,22.7,0.156,22.0,7.5,-2.0,0.156,1.1,-69.0,0.32
2.0,8.0,4.0,141,28,113,0,19.9,-0.014,-2.0,8.0,-2.0,-0.014,0.99,-70.0,-0.03
2.0,8.5,4.25,141,26,115,0,18.4,-0.064,-9.0,8.5,-2.0,-0.064,0.96,-86.5,-0.1
2.0,9.0,4.5,141,22,119,0,15.6,-0.284,-40.0,9.0,-2.0,-0.284,0.83,-107.0,-0.37
2.0,9.5,4.75,141,22,119,0,15.6,-0.206,-29.0,9.5,-2.0,-0.206,0.88,-104.5,-0.28
2.0,10.0,5.0,141,21,120,0,14.9,-0.213,-30.0,10.0,-2.0,-0.213,0.88,-114.0,-0.26
2.0,10.5,5.25,141,19,122,0,13.5,-0.316,-44.5,10.5,-2.0,-0.316,0.82,-114.0,-0.39
2.0,11.0,5.5,141,18,123,0,12.8,-0.34,-48.0,11.0,-2.0,-0.34,0.8,-112.0,-0.43
2.0,11.5,5.75,141,18,123,0,12.8,-0.277,-39.0,11.5,-2.0,-0.277,0.84,-110.0,-0.35
2.0,12.0,6.0,141,17,124,0,12.1,-0.312,-44.0,12.0,-2.0,-0.312,0.82,-122.0,-0.36
2.0,12.5,6.25,141,16,125,0,11.3,-0.355,-50.0,12.5,-2.0,-0.355,0.8,-135.0,-0.37
2.0,13.0,6.5,141,16,125,0,11.3,-0.298,-42.0,13.0,-2.0,-0.298,0.83,-134.0,-0.31
2.0,13.5,6.75,141,16,125,0,11.3,-0.241,-34.0,13.5,-2.0,-0.241,0.86,-133.0,-0.26
2.0,14.0,7.0,141,16,125,0,11.3,-0.184,-26.0,14.0,-2.0,-0.184,0.9,-132.0,-0.2
2.0,14.5,7.25,141,16,125,0,11.3,-0.128,-18.0,14.5,-2.0,-0.128,0.93,-131.0,-0.14
2.0,15.0,7.5,141,15,126,0,10.6,-0.191,-27.0,15.0,-2.0,-0.191,0.89,-147.0,-0.18
2.25,2.5,1.11,141,70,71,0,49.6,0.108,15.25,2.5,-2.25,0.108,1.1,-38.25,0.4
2.25,3.0,1.33,141,61,80,0,43.3,0.021,3.0,3.0,-2.25,0.021,1.02,-54.75,0.05
2.25,3.5,1.56,141,57,84,0,40.4,0.074,10.5,3.5,-2.25,0.074,1.06,-52.25,0.2
2.25,4.0,1.78,141,53,88,0,37.6,0.099,14.0,4.0,-2.25,0.099,1.07,-52.75,0.27
2.25,4.5,2.0,141,49,92,0,34.8,0.096,13.5,4.5,-2.25,0.096,1.07,-67.5,0.2
2.25,5.0,2.22,141,44,97,0,31.2,0.012,1.75,5.0,-2.25,0.012,1.01,-73.25,0.02
2.25,5.5,2.44,141,41,100,0,29.1,0.004,0.5,5.5,-2.25,0.004,1.0,-79.0,0.01
2.25,6.0,2.67,141,38,103,0,27.0,-0.027,-3.75,6.0,-2.25,-0.027,0.98,-82.5,-0.05
2.25,6.5,2.89,141,36,105,0,25.5,-0.016,-2.25,6.5,-2.25,-0.016,0.99,-81.5,-0.03
2.25,7.0,3.11,141,34,107,0,24.1,-0.02,-2.75,7.0,-2.25,-0.02,0.99,-80.5,-0.03
