Stock,Timeframe,EMA Pair,Cross Time,Cross Close,EMA21 @ Cross,EMA50 @ Cross,Touch Time,Touch Open,Touch High,Touch Low,Touch Close,EMA21 @ Touch,EMA50 @ Touch,Touch Zone,Candles After Cross,EMA9 @ Cross,EMA9 @ Touch
INFY,1h,EMA9/EMA21,2026-03-20 15:15:00,1259.1,1245.69,,2026-03-23 10:15:00,1248.7,1256.6,1245.7,1249.7,1246.29,,At/Below Slow EMA,2,1245.77,1246.99
INFY,1h,EMA9/EMA21,2026-03-20 15:15:00,1259.1,1245.69,,2026-03-23 11:15:00,1249.2,1255.0,1243.6,1252.1,1246.82,,At/Below Slow EMA,3,1245.77,1248.01
INFY,1h,EMA9/EMA21,2026-03-20 15:15:00,1259.1,1245.69,,2026-03-23 13:15:00,1246.4,1258.4,1244.0,1256.3,1247.61,,At/Below Slow EMA,5,1245.77,1249.35
INFY,1h,EMA9/EMA21,2026-03-20 15:15:00,1259.1,1245.69,,2026-03-24 15:15:00,1276.5,1282.0,1275.0,1280.1,1264.93,,Between Slow & Fast EMA,14,1245.77,1275.64
INFY,1h,EMA9/EMA21,2026-03-20 15:15:00,1259.1,1245.69,,2026-03-25 09:15:00,1270.0,1282.6,1265.1,1281.4,1266.43,,At/Below Slow EMA,15,1245.77,1276.79
INFY,1h,EMA9/EMA21,2026-03-20 15:15:00,1259.1,1245.69,,2026-03-25 10:15:00,1281.6,1290.5,1279.0,1289.7,1268.54,,Between Slow & Fast EMA,16,1245.77,1279.37
INFY,1h,EMA9/EMA21,2026-04-02 13:15:00,1294.5,1274.56,,2026-04-07 09:15:00,1302.0,1322.4,1294.4,1321.0,1296.23,,At/Below Slow EMA,10,1276.87,1307.28
INFY,1h,EMA9/EMA21,2026-04-02 13:15:00,1294.5,1274.56,,2026-04-09 14:15:00,1328.5,1337.3,1325.0,1334.6,1327.56,,At/Below Slow EMA,29,1276.87,1331.73
INFY,1h,EMA9/EMA21,2026-04-15 14:15:00,1305.3,1297.86,,2026-04-16 14:15:00,1311.1,1324.2,1309.6,1317.2,1305.88,,Between Slow & Fast EMA,7,1298.13,1310.97
INFY,1h,EMA9/EMA21,2026-04-15 14:15:00,1305.3,1297.86,,2026-04-17 09:15:00,1313.0,1328.3,1306.9,1315.4,1307.58,,At/Below Slow EMA,9,1298.13,1312.66
INFY,1h,EMA9/EMA21,2026-04-15 14:15:00,1305.3,1297.86,,2026-04-17 11:15:00,1312.6,1318.5,1309.9,1315.1,1308.69,,Between Slow & Fast EMA,11,1298.13,1313.15
INFY,1h,EMA9/EMA21,2026-04-15 14:15:00,1305.3,1297.86,,2026-04-17 14:15:00,1312.7,1319.2,1307.6,1318.7,1310.08,,At/Below Slow EMA,14,1298.13,1313.87
INFY,1h,EMA9/EMA21,2026-04-15 14:15:00,1305.3,1297.86,,2026-04-20 10:15:00,1311.9,1316.8,1310.0,1316.6,1311.56,,At/Below Slow EMA,17,1298.13,1314.87
INFY,1h,EMA9/EMA21,2026-04-15 14:15:00,1305.3,1297.86,,2026-04-21 10:15:00,1313.9,1319.8,1312.0,1318.4,1313.11,,At/Below Slow EMA,24,1298.13,1314.79
INFY,1h,EMA9/EMA21,2026-04-15 14:15:00,1305.3,1297.86,,2026-04-21 11:15:00,1318.2,1324.0,1315.9,1323.3,1314.03,,Between Slow & Fast EMA,25,1298.13,1316.49
INFY,1h,EMA9/EMA21,2026-04-15 14:15:00,1305.3,1297.86,,2026-04-21 15:15:00,1312.3,1315.8,1311.8,1314.6,1313.61,,At/Below Slow EMA,29,1298.13,1314.33
INFY,1h,EMA9/EMA21,2026-04-30 14:15:00,1180.9,1176.01,,2026-05-04 10:15:00,1178.5,1180.9,1175.3,1178.8,1177.06,,At/Below Slow EMA,3,1176.59,1178.26
RELIANCE,1h,EMA9/EMA21,2026-01-29 12:15:00,1394.8,1393.88,,2026-01-29 13:15:00,1394.6,1399.9,1392.0,1398.6,1394.31,,At/Below Slow EMA,1,1393.97,1394.89
RELIANCE,1h,EMA9/EMA21,2026-01-30 15:15:00,1397.0,1392.84,,2026-02-01 09:15:00,1396.0,1406.0,1388.0,1404.8,1393.93,,At/Below Slow EMA,1,1393.05,1395.4
RELIANCE,1h,EMA9/EMA21,2026-02-03 09:15:00,1443.9,1387.37,,2026-02-06 10:15:00,1437.9,1448.8,1437.5,1448.0,1439.03,,At/Below Slow EMA,22,1392.59,1444.39
RELIANCE,1h,EMA9/EMA21,2026-02-03 09:15:00,1443.9,1387.37,,2026-02-06 14:15:00,1442.4,1451.4,1440.0,1450.4,1440.7,,At/Below Slow EMA,26,1392.59,1444.58
RELIANCE,1h,EMA9/EMA21,2026-02-03 09:15:00,1443.9,1387.37,,2026-02-11 10:15:00,1458.0,1465.5,1458.0,1462.6,1456.1,,Between Slow & Fast EMA,43,1392.59,1459.15
RELIANCE,1h,EMA9/EMA21,2026-02-03 09:15:00,1443.9,1387.37,,2026-02-11 11:15:00,1462.5,1466.6,1459.9,1466.4,1457.03,,Between Slow & Fast EMA,44,1392.59,1460.6
RELIANCE,1h,EMA9/EMA21,2026-02-24 13:15:00,1427.0,1423.01,,2026-02-24 14:15:00,1426.7,1430.7,1422.7,1429.3,1423.58,,At/Below Slow EMA,1,1423.32,1424.52
RELIANCE,1h,EMA9/EMA21,2026-03-05 13:15:00,1377.9,1370.6,,2026-03-06 15:15:00,1404.8,1409.7,1401.0,1407.0,1392.33,,Between Slow & Fast EMA,9,1370.82,1403.9
RELIANCE,1h,EMA9/EMA21,2026-03-05 13:15:00,1377.9,1370.6,,2026-03-09 12:15:00,1398.8,1407.9,1397.0,1403.7,1394.81,,Between Slow & Fast EMA,13,1370.82,1401.81
RELIANCE,1h,EMA9/EMA21,2026-03-05 13:15:00,1377.9,1370.6,,2026-03-09 13:15:00,1403.6,1410.2,1402.3,1408.7,1396.08,,Between Slow & Fast EMA,14,1370.82,1403.19
RELIANCE,1h,EMA9/EMA21,2026-03-05 13:15:00,1377.9,1370.6,,2026-03-09 14:15:00,1409.1,1429.0,1407.3,1425.0,1398.7,,Between Slow & Fast EMA,15,1370.82,1407.55
RELIANCE,1h,EMA9/EMA21,2026-03-05 13:15:00,1377.9,1370.6,,2026-03-10 13:15:00,1408.3,1415.8,1407.3,1414.0,1404.85,,Between Slow & Fast EMA,21,1370.82,1411.18
RELIANCE,1h,EMA9/EMA21,2026-03-05 13:15:00,1377.9,1370.6,,2026-03-10 15:15:00,1408.6,1412.2,1405.7,1410.9,1405.71,,At/Below Slow EMA,23,1370.82,1410.7
RELIANCE,1h,EMA9/EMA21,2026-03-17 10:15:00,1397.9,1390.73,,2026-03-17 12:15:00,1393.7,1400.8,1388.2,1400.2,1391.83,,At/Below Slow EMA,2,1391.03,1393.27
RELIANCE,1h,EMA9/EMA21,2026-03-17 10:15:00,1397.9,1390.73,,2026-03-18 09:15:00,1397.2,1412.1,1397.2,1406.5,1394.91,,Between Slow & Fast EMA,6,1391.03,1398.22
