SL %,Target %,R:R,Signals,Target Hit,SL Hit,Open,Win Rate %,Avg PnL %,Total PnL %,Avg Win %,Avg Loss %,Expectancy %,Profit Factor,Max Drawdown %,Calmar
1.5,4.0,2.67,128,19,108,1,15.0,-0.68,-86.99,4.0,-1.5,-0.68,0.47,-85.49,-1.02
1.5,4.5,3.0,128,17,109,2,13.5,-0.674,-86.26,4.35,-1.5,-0.674,0.48,-84.76,-1.02
1.5,5.0,3.33,128,15,111,2,11.9,-0.709,-90.76,4.8,-1.5,-0.709,0.46,-89.26,-1.02
1.5,5.5,3.67,128,15,111,2,11.9,-0.65,-83.26,5.26,-1.5,-0.65,0.5,-81.76,-1.02
1.5,6.0,4.0,128,11,115,2,8.7,-0.826,-105.76,5.64,-1.5,-0.826,0.39,-104.26,-1.01
1.5,6.5,4.33,128,11,115,2,8.7,-0.783,-100.26,6.1,-1.5,-0.783,0.42,-98.76,-1.02
1.5,7.0,4.67,128,9,116,3,7.2,-0.847,-108.46,6.05,-1.5,-0.847,0.38,-106.96,-1.01
1.5,7.5,5.0,128,8,116,4,6.5,-0.855,-109.46,5.96,-1.5,-0.855,0.37,-107.96,-1.01
1.5,8.0,5.33,128,6,118,4,4.8,-0.972,-124.46,5.95,-1.5,-0.972,0.3,-122.96,-1.01
1.5,8.5,5.67,128,5,119,4,4.0,-1.027,-131.46,6.0,-1.5,-1.027,0.27,-129.96,-1.01
1.5,9.0,6.0,128,5,119,4,4.0,-1.007,-128.96,6.32,-1.5,-1.008,0.28,-127.46,-1.01
1.5,9.5,6.33,128,5,119,4,4.0,-0.988,-126.46,6.63,-1.5,-0.988,0.3,-124.96,-1.01
1.5,10.0,6.67,128,3,121,4,2.4,-1.148,-146.96,5.92,-1.5,-1.148,0.19,-145.46,-1.01
1.5,10.5,7.0,128,2,122,4,1.6,-1.23,-157.46,5.31,-1.5,-1.23,0.14,-155.96,-1.01
1.5,11.0,7.33,128,2,122,4,1.6,-1.222,-156.46,5.51,-1.5,-1.222,0.15,-154.96,-1.01
1.5,11.5,7.67,128,2,122,4,1.6,-1.215,-155.46,5.71,-1.5,-1.215,0.16,-153.96,-1.01
1.5,12.0,8.0,128,2,122,4,1.6,-1.207,-154.46,5.91,-1.5,-1.207,0.16,-152.96,-1.01
1.5,12.5,8.33,128,2,122,4,1.6,-1.199,-153.46,6.11,-1.5,-1.199,0.17,-151.96,-1.01
1.5,13.0,8.67,128,2,122,4,1.6,-1.191,-152.46,6.31,-1.5,-1.191,0.17,-150.96,-1.01
1.5,13.5,9.0,128,2,122,4,1.6,-1.183,-151.46,6.51,-1.5,-1.183,0.18,-149.96,-1.01
1.5,14.0,9.33,128,0,122,6,0.0,-1.342,-171.73,2.45,-1.5,-1.342,0.07,-170.23,-1.01
1.5,14.5,9.67,128,0,122,6,0.0,-1.342,-171.73,2.45,-1.5,-1.342,0.07,-170.23,-1.01
1.5,15.0,10.0,128,0,122,6,0.0,-1.342,-171.73,2.45,-1.5,-1.342,0.07,-170.23,-1.01
1.75,2.0,1.14,128,34,92,2,27.0,-0.734,-93.93,1.94,-1.74,-0.734,0.42,-92.68,-1.01
1.75,2.5,1.43,128,23,103,2,18.3,-0.966,-123.68,2.4,-1.74,-0.966,0.32,-121.93,-1.01
1.75,3.0,1.71,128,21,105,2,16.7,-0.951,-121.68,2.87,-1.74,-0.951,0.34,-119.93,-1.01
1.75,3.5,2.0,128,19,107,2,15.1,-0.951,-121.68,3.33,-1.74,-0.951,0.35,-119.93,-1.01
1.75,4.0,2.29,128,19,107,2,15.1,-0.876,-112.18,3.8,-1.74,-0.876,0.4,-110.43,-1.02
1.75,4.5,2.57,128,17,108,3,13.6,-0.873,-111.7,4.12,-1.74,-0.873,0.41,-109.95,-1.02
1.75,5.0,2.86,128,15,110,3,12.0,-0.912,-116.7,4.52,-1.74,-0.912,0.4,-114.95,-1.02
1.75,5.5,3.14,128,15,110,3,12.0,-0.853,-109.2,4.96,-1.74,-0.853,0.44,-107.45,-1.02
1.75,6.0,3.43,128,11,114,3,8.8,-1.037,-132.7,5.21,-1.74,-1.037,0.34,-130.95,-1.01
1.75,6.5,3.71,128,11,114,3,8.8,-0.994,-127.2,5.64,-1.74,-0.994,0.37,-125.45,-1.01
1.75,7.0,4.0,128,9,115,4,7.3,-1.06,-135.65,5.55,-1.74,-1.06,0.33,-133.9,-1.01
1.75,7.5,4.29,128,8,115,5,6.5,-1.068,-136.65,5.47,-1.74,-1.068,0.32,-134.9,-1.01
1.75,8.0,4.57,128,6,117,5,4.9,-1.189,-152.15,5.36,-1.74,-1.189,0.26,-150.4,-1.01
1.75,8.5,4.86,128,5,118,5,4.1,-1.245,-159.4,5.34,-1.74,-1.245,0.23,-157.65,-1.01
1.75,9.0,5.14,128,5,118,5,4.1,-1.226,-156.9,5.62,-1.74,-1.226,0.24,-155.15,-1.01
1.75,9.5,5.43,128,5,118,5,4.1,-1.206,-154.4,5.9,-1.74,-1.206,0.26,-152.65,-1.01
1.75,10.0,5.71,128,3,120,5,2.4,-1.37,-175.4,5.08,-1.74,-1.37,0.17,-173.65,-1.01
1.75,10.5,6.0,128,2,121,5,1.6,-1.454,-186.15,4.43,-1.74,-1.454,0.12,-184.4,-1.01
1.75,11.0,6.29,128,2,121,5,1.6,-1.446,-185.15,4.6,-1.74,-1.446,0.13,-183.4,-1.01
1.75,11.5,6.57,128,2,121,5,1.6,-1.439,-184.15,4.76,-1.74,-1.439,0.13,-182.4,-1.01
1.75,12.0,6.86,128,2,121,5,1.6,-1.431,-183.15,4.93,-1.74,-1.431,0.14,-181.4,-1.01
1.75,12.5,7.14,128,2,121,5,1.6,-1.423,-182.15,5.1,-1.74,-1.423,0.14,-180.4,-1.01
1.75,13.0,7.43,128,2,121,5,1.6,-1.415,-181.15,5.26,-1.74,-1.415,0.15,-179.4,-1.01
1.75,13.5,7.71,128,2,121,5,1.6,-1.407,-180.15,5.43,-1.74,-1.407,0.15,-178.4,-1.01
1.75,14.0,8.0,128,0,121,7,0.0,-1.566,-200.42,2.05,-1.74,-1.566,0.06,-198.67,-1.01
1.75,14.5,8.29,128,0,121,7,0.0,-1.566,-200.42,2.05,-1.74,-1.566,0.06,-198.67,-1.01
1.75,15.0,8.57,128,0,121,7,0.0,-1.566,-200.42,2.05,-1.74,-1.566,0.06,-198.67,-1.01
2.0,2.5,1.25,128,26,100,2,20.6,-1.062,-135.93,2.41,-1.99,-1.062,0.32,-133.93,-1.01
2.0,3.0,1.5,128,25,101,2,19.8,-0.999,-127.93,2.89,-1.99,-0.999,0.37,-125.93,-1.02
2.0,3.5,1.75,128,23,103,2,18.3,-0.988,-126.43,3.36,-1.99,-0.988,0.39,-124.43,-1.02
2.0,4.0,2.0,128,23,103,2,18.3,-0.898,-114.93,3.84,-1.99,-0.898,0.44,-112.93,-1.02
2.0,4.5,2.25,128,21,104,3,16.8,-0.88,-112.7,4.19,-1.99,-0.88,0.46,-110.7,-1.02
2.0,5.0,2.5,128,19,106,3,15.2,-0.908,-116.2,4.61,-1.99,-0.908,0.45,-114.2,-1.02
2.0,5.5,2.75,128,18,107,3,14.4,-0.892,-114.2,5.04,-1.99,-0.892,0.47,-112.2,-1.02
2.0,6.0,3.0,128,12,113,3,9.6,-1.197,-153.2,5.27,-1.99,-1.197,0.33,-151.2,-1.01
2.0,6.5,3.25,128,12,113,3,9.6,-1.15,-147.2,5.7,-1.99,-1.15,0.35,-145.2,-1.01
2.0,7.0,3.5,128,10,114,4,8.1,-1.214,-155.4,5.66,-1.99,-1.214,0.32,-153.4,-1.01
2.0,7.5,3.75,128,9,114,5,7.3,-1.218,-155.9,5.62,-1.99,-1.218,0.32,-153.9,-1.01
2.0,8.0,4.0,128,7,116,5,5.7,-1.339,-171.4,5.6,-1.99,-1.339,0.26,-169.4,-1.01
2.0,8.5,4.25,128,6,116,6,4.9,-1.385,-177.33,5.66,-1.98,-1.385,0.24,-175.33,-1.01
2.0,9.0,4.5,128,6,116,6,4.9,-1.362,-174.33,5.96,-1.98,-1.362,0.25,-172.33,-1.01
2.0,9.5,4.75,128,6,116,6,4.9,-1.339,-171.33,6.26,-1.98,-1.339,0.27,-169.33,-1.01
2.0,10.0,5.0,128,4,118,6,3.3,-1.503,-192.33,5.7,-1.98,-1.503,0.19,-190.33,-1.01
2.0,10.5,5.25,128,2,119,7,1.7,-1.609,-205.91,4.86,-1.98,-1.609,0.14,-203.91,-1.01
2.0,11.0,5.5,128,2,119,7,1.7,-1.601,-204.91,5.0,-1.98,-1.601,0.15,-202.91,-1.01
2.0,11.5,5.75,128,2,119,7,1.7,-1.593,-203.91,5.14,-1.98,-1.593,0.15,-201.91,-1.01
2.0,12.0,6.0,128,2,119,7,1.7,-1.585,-202.91,5.29,-1.98,-1.585,0.15,-200.91,-1.01
2.0,12.5,6.25,128,2,119,7,1.7,-1.577,-201.91,5.43,-1.98,-1.577,0.16,-199.91,-1.01
2.0,13.0,6.5,128,2,119,7,1.7,-1.57,-200.91,5.57,-1.98,-1.57,0.16,-198.91,-1.01
2.0,13.5,6.75,128,2,119,7,1.7,-1.562,-199.91,5.72,-1.98,-1.562,0.17,-197.91,-1.01
