Stock,Timeframe,EMA Pair,Cross Time,Cross Close,EMA21 @ Cross,EMA50 @ Cross,Touch Time,Touch Open,Touch High,Touch Low,Touch Close,EMA21 @ Touch,EMA50 @ Touch,Touch Zone,Candles After Cross,EMA10 @ Cross,EMA20 @ Cross,EMA10 @ Touch,EMA20 @ Touch
RELIANCE,1h,EMA10/EMA20,2026-04-15 12:15:00,1339.4,,,2026-04-22 10:15:00,1355.9,1365.3,1355.9,1363.9,,,At/Below Slow EMA,33,1331.65,1331.61,1358.73,1357.78
RELIANCE,1h,EMA10/EMA20,2026-04-15 12:15:00,1339.4,,,2026-04-22 14:15:00,1360.6,1363.5,1358.6,1363.4,,,At/Below Slow EMA,37,1331.65,1331.61,1360.9,1359.4
RELIANCE,1h,EMA10/EMA20,2026-04-27 14:15:00,1365.0,,,2026-04-30 11:15:00,1400.0,1412.7,1399.7,1411.6,,,Between Slow & Fast EMA,18,1346.28,1345.37,1407.92,1396.32
RELIANCE,1h,EMA10/EMA20,2026-04-27 14:15:00,1365.0,,,2026-05-05 11:15:00,1452.8,1460.9,1450.0,1460.1,,,Between Slow & Fast EMA,32,1346.28,1345.37,1453.45,1439.04
TCS,1h,EMA10/EMA20,2026-01-01 10:15:00,3221.0,,,2026-01-02 09:15:00,3234.0,3239.9,3219.5,3234.7,,,Between Slow & Fast EMA,6,3212.0,3211.05,3223.38,3218.65
TCS,1h,EMA10/EMA20,2026-01-01 10:15:00,3221.0,,,2026-01-02 14:15:00,3243.6,3252.8,3234.1,3250.4,,,Between Slow & Fast EMA,11,3212.0,3211.05,3236.96,3228.75
TCS,1h,EMA10/EMA20,2026-01-06 09:15:00,3238.1,,,2026-01-07 09:15:00,3242.9,3280.5,3236.7,3276.3,,,At/Below Slow EMA,7,3226.54,3226.24,3247.18,3238.82
TCS,1h,EMA10/EMA20,2026-02-01 13:15:00,3199.8,,,2026-02-02 11:15:00,3145.9,3166.0,3134.1,3165.9,,,At/Below Slow EMA,5,3152.58,3148.01,3161.95,3156.25
TCS,1h,EMA10/EMA20,2026-02-01 13:15:00,3199.8,,,2026-02-02 12:15:00,3165.8,3175.4,3152.6,3172.2,,,At/Below Slow EMA,6,3152.58,3148.01,3163.81,3157.77
TCS,1h,EMA10/EMA20,2026-02-01 13:15:00,3199.8,,,2026-02-02 14:15:00,3149.6,3175.4,3148.6,3172.2,,,At/Below Slow EMA,8,3152.58,3148.01,3163.24,3158.45
TCS,1h,EMA10/EMA20,2026-02-26 12:15:00,2641.3,,,2026-02-26 13:15:00,2641.4,2647.0,2635.8,2646.4,,,At/Below Slow EMA,1,2638.67,2638.65,2640.07,2639.39
