Variant,SL %,Target %,R:R,Signals,Target Hit,SL Hit,Open,Win Rate %,Avg PnL %,Total PnL %,Avg Win %,Avg Loss %,Expectancy %,Profit Factor,Max Drawdown %,Calmar
All touches,1.5,9.0,6.0,559,37,513,9,6.7,-0.77,-430.36,8.32,-1.5,-0.775,0.44,-485.86,-0.89
All touches,1.5,9.5,6.33,559,35,515,9,6.4,-0.776,-433.86,8.73,-1.5,-0.781,0.44,-493.86,-0.88
All touches,1.5,10.0,6.67,559,32,518,9,5.8,-0.807,-450.86,9.11,-1.5,-0.812,0.42,-515.36,-0.87
All touches,1.5,10.5,7.0,559,26,524,9,4.7,-0.907,-506.86,9.37,-1.5,-0.912,0.36,-551.86,-0.92
All touches,1.5,11.0,7.33,559,23,527,9,4.2,-0.951,-531.36,9.67,-1.5,-0.956,0.33,-579.86,-0.92
All touches,1.5,11.5,7.67,559,23,527,9,4.2,-0.93,-519.86,10.1,-1.5,-0.935,0.34,-571.86,-0.91
All touches,1.5,12.0,8.0,559,22,528,9,4.0,-0.934,-521.86,10.47,-1.5,-0.939,0.34,-577.36,-0.9
All touches,1.5,12.5,8.33,559,20,530,9,3.6,-0.964,-538.86,10.75,-1.5,-0.969,0.32,-597.86,-0.9
All touches,1.5,13.0,8.67,559,19,531,9,3.5,-0.972,-543.36,11.09,-1.5,-0.977,0.32,-605.86,-0.9
All touches,1.5,13.5,9.0,559,19,531,9,3.5,-0.955,-533.86,11.5,-1.5,-0.96,0.33,-599.86,-0.89
All touches,1.5,14.0,9.33,559,17,531,11,3.1,-0.976,-545.63,10.99,-1.5,-0.981,0.32,-615.13,-0.89
All touches,1.5,14.5,9.67,559,17,531,11,3.1,-0.961,-537.13,11.36,-1.5,-0.966,0.33,-610.13,-0.88
All touches,1.5,15.0,10.0,559,17,531,11,3.1,-0.946,-528.63,11.73,-1.5,-0.951,0.34,-605.13,-0.87
All touches,1.75,2.0,1.14,559,213,342,4,38.4,-0.31,-173.43,1.99,-1.75,-0.317,0.71,-201.68,-0.86
All touches,1.75,2.5,1.43,559,179,376,4,32.3,-0.378,-211.43,2.49,-1.75,-0.384,0.68,-238.5,-0.89
All touches,1.75,3.0,1.71,559,158,397,4,28.5,-0.397,-221.68,2.98,-1.75,-0.403,0.68,-253.25,-0.88
All touches,1.75,3.5,2.0,559,147,408,4,26.5,-0.359,-200.43,3.48,-1.75,-0.365,0.72,-253.75,-0.79
All touches,1.75,4.0,2.29,559,138,417,4,24.9,-0.32,-178.68,3.97,-1.75,-0.326,0.76,-235.5,-0.76
All touches,1.75,4.5,2.57,559,127,427,5,22.9,-0.313,-174.95,4.44,-1.75,-0.319,0.77,-262.0,-0.67
All touches,1.75,5.0,2.86,559,114,440,5,20.6,-0.356,-199.2,4.93,-1.75,-0.363,0.74,-283.0,-0.7
All touches,1.75,5.5,3.14,559,98,455,6,17.7,-0.454,-253.89,5.38,-1.75,-0.46,0.68,-298.14,-0.85
All touches,1.75,6.0,3.43,559,86,467,6,15.6,-0.533,-297.89,5.85,-1.75,-0.539,0.64,-347.89,-0.86
All touches,1.75,6.5,3.71,559,77,476,6,13.9,-0.589,-329.14,6.31,-1.75,-0.595,0.61,-385.64,-0.85
All touches,1.75,7.0,4.0,559,70,482,7,12.7,-0.623,-348.34,6.7,-1.75,-0.629,0.59,-411.34,-0.85
All touches,1.75,7.5,4.29,559,69,482,8,12.5,-0.57,-318.84,7.1,-1.75,-0.577,0.62,-389.34,-0.82
All touches,1.75,8.0,4.57,559,60,491,8,10.9,-0.666,-372.09,7.51,-1.75,-0.672,0.57,-450.84,-0.83
All touches,1.75,8.5,4.86,559,53,497,9,9.6,-0.738,-412.66,7.91,-1.75,-0.744,0.53,-508.91,-0.81
All touches,1.75,9.0,5.14,559,43,506,10,7.8,-0.881,-492.3,8.23,-1.74,-0.887,0.45,-581.3,-0.85
All touches,1.75,9.5,5.43,559,42,507,10,7.7,-0.862,-482.05,8.66,-1.74,-0.869,0.46,-577.55,-0.83
All touches,1.75,10.0,5.71,559,39,510,10,7.1,-0.888,-496.3,9.05,-1.74,-0.894,0.45,-598.3,-0.83
All touches,1.75,10.5,6.0,559,33,516,10,6.0,-0.984,-550.3,9.33,-1.74,-0.991,0.39,-634.3,-0.87
All touches,1.75,11.0,6.29,559,30,519,10,5.5,-1.023,-572.05,9.66,-1.74,-1.03,0.37,-661.55,-0.86
All touches,1.75,11.5,6.57,559,30,519,10,5.5,-0.997,-557.05,10.09,-1.74,-1.003,0.39,-652.05,-0.85
All touches,1.75,12.0,6.86,559,29,520,10,5.3,-0.994,-555.8,10.48,-1.74,-1.001,0.39,-656.3,-0.85
All touches,1.75,12.5,7.14,559,27,522,10,4.9,-1.019,-569.8,10.8,-1.74,-1.026,0.38,-675.8,-0.84
